time,vehicle_count,avg_speed,speed_std,avg_acceleration,acc_std,avg_co2,avg_fuel,sudden_brake_count
825,190,6.273390188117874,7.909141028756567,0.17939564405703598,1.4647204978119233,3171.48752330318,1028.1494842018326,12
826,190,6.01921748321659,7.689198903931362,-0.11672021201158465,1.593257786646834,2556.1950393644356,828.6843144282178,18
827,190,5.903189615933994,7.716418054518765,-0.05025392136392626,1.614161244519502,2801.073331933992,908.0691797943467,19
828,191,5.898758993823759,7.611530270264956,0.026476129805650422,1.3914443137531345,2638.0692670118838,855.2269494586293,12
829,191,5.705091533004304,7.35905691418827,-0.04986088616603453,1.573718810492631,2671.5000867913704,866.0632008831454,18
830,190,5.600995834879779,7.360486347694739,0.07281487864283516,1.5001869896380144,2873.3891309520945,931.5113096747674,13
831,191,5.6526557502711,7.4303187776573125,0.08098450091425233,1.4168837057851484,2826.8084946515182,916.4134023763039,13
832,190,5.616291091622926,7.414132004174089,0.004113871711161963,1.5320356986116022,2811.2341269799767,911.361447101642,15
833,190,5.532123424511823,7.330793148142932,-0.0841676671111028,1.5853392090290417,2573.2057265602484,834.1991925404877,17
834,191,5.355152489027466,7.107050565379707,-0.1480069384973844,1.642466818706346,2412.700176175738,782.1657215191118,19
835,192,5.234631903045268,6.951403063877054,-0.09262916676851307,1.4451251118427146,2257.6898568438014,731.9140532078678,15
836,192,5.394017230523321,7.014430977194366,0.15938532747805323,1.2650311022440686,2700.900434656101,875.5955904501147,8
837,192,5.382955068508212,6.941146028512199,0.06499560313694033,1.4052038831141311,2520.1018228362404,816.9845129760221,10
838,193,5.47857341628813,6.997941264407017,0.1235093066841062,1.370589036490233,2709.9610363210545,878.5330145017473,10
839,194,5.627011313613844,7.214069785180264,0.25032235540459796,1.3586498817446488,3020.769829905994,979.2911276926056,8
840,193,5.713555300197882,7.299133705556764,0.2051863695732437,1.2638357233917397,2853.772509619314,925.1541260428518,7
841,193,5.867308119674183,7.388722942403386,0.21219569068760055,1.216150623674881,2742.9248729482724,889.218914929818,6
842,192,5.926066333187635,7.39788826558435,0.16186906512683893,1.2093912334414239,2705.1917215197377,876.986976902124,8
843,193,5.890204265399329,7.3882229455914326,-0.005157060880598092,1.4246984560993423,2670.8148212912433,865.8431027443148,13
844,193,5.71051327576139,7.3733647188590306,-0.17969098963793934,1.6067454373433057,2542.724145060886,824.3172938889618,20
845,193,5.557345270393387,7.457233555243248,-0.14219687363565134,1.5759140303826629,2542.8582386654,824.3616707333325,20
846,192,5.3833509871120695,7.508758611344232,-0.057503044528805,1.5489140875741088,2709.34946649206,878.3337032230735,18
847,194,5.26047446429594,7.376419163926118,-0.06737805903146896,1.3894478288494287,2399.5659892511367,777.9082688822641,11
848,195,5.096991307099498,7.1834580100596614,-0.13650636507184752,1.5047279180835904,2351.0372476630564,762.1761904355238,17
849,196,4.910365082608167,6.979013083078718,-0.16062116680204735,1.620299033222367,2300.2659528122877,745.715372423133,19
850,196,4.826610475451706,6.800013132923946,-0.08375460715646212,1.5640099975953816,2392.813182069085,775.7192840320578,20
851,199,4.684268908605692,6.725029163651307,-0.0695785948542782,1.5481658439890291,2463.00296682506,798.473868535736,18
852,199,4.593663733714279,6.6449767691134705,0.006573876641645314,1.4567568940613875,2506.339118183269,812.5234366542651,15
853,199,4.546370058436469,6.525859431166526,0.02124909944362408,1.4040826479364228,2417.053974653397,783.5780274181066,12
854,198,4.521264426824668,6.369751802284284,0.027244487871680875,1.5809021588462042,2577.4280537110108,835.5683902493797,15
855,198,4.508601797748014,6.305603700750589,0.03178875905083665,1.531295433678502,2597.8347349596825,842.1837095233992,18
856,198,4.505378276578066,6.3559663031801374,0.06565250350018366,1.5607300158536646,2755.7051436973834,893.3615433964376,16
857,198,4.578789268920333,6.501305823220361,0.07341099234226613,1.5268611431650232,2771.865967986053,898.5994782291677,16
858,198,4.6538383263204555,6.593060241752563,0.16691373504030543,1.4499620043687473,2832.5349259844998,918.2687716590665,11
859,197,4.662478983622139,6.758176949891795,0.10200601087600451,1.5543232233914024,2888.6344291789137,936.4546784254516,15
860,198,4.837220148548517,6.890967118454833,0.2653381552243389,1.4812025792510728,3023.935086871541,980.3163133271541,9
861,198,4.966106402525595,7.018836355219537,0.1864630828210451,1.4369626298336335,2864.2048470268137,928.5335599106062,12
862,197,5.014468239780086,7.099042097998136,0.11357260303745235,1.4636876488506063,2828.4238381542173,916.9361497194438,11
863,198,4.9815022228642185,7.111204816649016,0.03201244246448118,1.5326867014229804,2668.3896256103203,865.0537163385658,14
864,196,4.887581622434824,7.077848115837137,0.02630586638089257,1.5516010001240739,2638.5130372512817,855.3699198559716,16
865,197,4.954984391168281,7.010433104236566,0.09221282773058881,1.48522961826319,2595.7854532899105,841.5185223509699,14
866,197,4.852969975397872,6.770037793382948,-0.03933470069902487,1.491042175103815,2321.0846564587678,752.4653459296052,14
867,199,4.818760616311913,6.745408033123134,0.014564208505978952,1.5252107010382192,2502.8288603092165,811.3823041090304,14
868,198,4.789661190659497,6.822852474086017,0.07531389341269995,1.4954766939238953,2643.235028535072,856.9011651177193,14
869,198,4.774553724302066,6.852109188629612,0.04010561404161883,1.4289454775333845,2519.2559382359923,816.7096064869465,13
870,198,4.779701520158561,6.94624631688592,0.08004791764739429,1.4227709888198004,2671.8174667933968,866.1687292294334,10
871,199,4.816406858788757,6.922018527463749,0.060723939234008636,1.3444573929378898,2453.1752369360956,795.2880642876313,10
872,200,4.756737103981468,6.817670858443331,-0.035587720513345626,1.4760972911753145,2406.1108415657363,780.0302124717194,14
873,200,4.817299936677367,6.935501078976712,0.12293479154578904,1.3800266015463352,2794.9193215700398,906.074728324373,12
874,201,4.96678700405739,7.080763448994048,0.1734537337316513,1.252892269816027,2674.3749602260245,866.9970776299178,9
875,200,5.0364656712610145,7.150020875022815,0.16735803175059022,1.376214975322011,2789.1384950251177,904.2013975005608,10
876,201,5.1842760487582185,7.280866812605435,0.1728674206378064,1.3112368822713418,2790.6455344323704,904.6896776684099,10
877,202,5.2991508579524735,7.399246595328233,0.14053954210889938,1.3513994946220702,2842.741074773781,921.57844006127,9
878,202,5.398417065238774,7.645603655510187,0.16234317716748925,1.3472217943872962,3032.051839062002,982.9493840449816,10
879,202,5.389402067440954,7.8252517566599895,0.10127449241830555,1.3496127607508634,2930.1159311601077,949.9028186081193,11
880,202,5.303551089765302,7.849477589429405,0.05333166015780323,1.2524887090805688,2748.558576030609,891.0446224388386,10
881,203,5.467771641413967,8.006298773993805,0.19034641908593256,1.172029628070951,2837.6003967205042,919.9095859482534,5
882,203,5.56644874359991,8.066213333661215,0.19862183371672498,1.2211540910359884,2915.622431717923,945.2039393381921,9
883,204,5.613671279758157,8.002963595247444,0.07450904960726615,1.341030107895931,2633.5753939845144,853.7700828621033,12
884,202,5.616976814167556,7.999096819441853,0.02401037350451933,1.3571768765277588,2640.819285970339,856.1186217841664,12
885,203,5.46586630459907,7.862837720928626,-0.07769006411731429,1.41548811596687,2409.6354725004503,781.1731863075648,15
